"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\firebase.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 0, 14
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\assets\index-Cnip7dDl.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 726, 1809, 73, 2608
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\assets\index-DWTT-EYV.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\assets\osf-logo-DC-J1D7C.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\assets\osf-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\assets\osf_h_w.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 296, 0, 1, 1, 298
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\assets\vite-DcBtz0py.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\PRODUCTION\public\index.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\README.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 11, 51
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\assets\osf-logo-DC-J1D7C.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\assets\osf-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
